name,address,tel,business_hours,url,spot
道の駅あきた港　ポートタワー・セリオン,秋田県秋田市土崎港西１丁目９-１ 道の駅あきた港　ポートタワー・セリオン,018-857-3381,9:00～18:00（冬期は17:00まで）,https://tabi-sake.com/shop/6akitaport_selion/,06.田沢湖・角館
セブン-イレブン 田沢湖店,秋田県仙北市田沢湖生保内沼田７３−１ セブンイレブン 田沢湖店,0187-43-0711,,https://tabi-sake.com/shop/6seven11tazwakoten/,06.田沢湖・角館
道の駅 美郷,秋田県仙北郡美郷町金沢字下舘124　道の駅美郷,0182-37-3000,9:00～18:00（11月から3月は17:00まで）,https://tabi-sake.com/shop/6michinoekimisato/,06.田沢湖・角館
ANA FESTA 大館能代ロビー店,秋田県北秋田市脇神字からむし岱21-144　大館能代空港内,0186-62-5530,9:00～18:10,https://tabi-sake.com/shop/6ana-festa_oodatenoshiro/,06.田沢湖・角館
四季彩一力,〒963-1309　福島県郡山市熱海町熱海４－１６１四季彩 一力,０２４－９８４－２１１５,9:00〜21:00,https://tabi-sake.com/shop/%e5%9b%9b%e5%ad%a3%e5%bd%a9%e4%b8%80%e5%8a%9b/,07.磐梯
笹の川酒造 ショップ,福島県郡山市笹川1丁目178　笹の川酒造,024-945-0261,9：00~16：00,https://tabi-sake.com/shop/7sasanogawasyuzou/,07.磐梯
道の駅 裏磐梯,福島県耶麻郡北塩原村大字桧原字南黄連沢山1157　道の駅裏磐梯,0241-33-2241 ,9:00～17:00,https://tabi-sake.com/shop/7michiekiurabandai/,07.磐梯
九州フードマーケット（KYUSHU FOOD MARKET）,大分県由布市湯布院町川上1503-3 YUFUIN FLORAL VILLAGE内,0977-76-5607,9:00～18:00,https://tabi-sake.com/shop/kyusyufood_m/,08.別府
別府交通センター,大分県別府市新港町6-46　別府交通センター,0977-24-1811,9:00～17:00,https://tabi-sake.com/shop/%e5%88%a5%e5%ba%9c%e3%80%80%e5%88%a5%e5%ba%9c%e4%ba%a4%e9%80%9a%e3%82%bb%e3%83%b3%e3%82%bf%e3%83%bc/,08.別府
オーリック別府松原店,大分県別府市松原町1-1　オーリック別府松原店,0977-24-1414,10:00～19:00　日曜日定休,https://tabi-sake.com/shop/beppumatsubara/,08.別府
龍巻地獄売店,大分県別府市野田（大字）782　龍巻地獄,0977-66-1854,8:00～17:00,https://tabi-sake.com/shop/%e5%88%a5%e5%ba%9c%e3%80%80%e9%be%8d%e5%b7%bb%e5%9c%b0%e7%8d%84%e5%a3%b2%e5%ba%97/,08.別府
小谷酒店,大分県別府市中央町8-14　小谷酒店,0977-21-0712,,https://tabi-sake.com/shop/8%e5%b0%8f%e8%b0%b7%e9%85%92%e5%ba%97/,08.別府
彦根キャッスル　リゾート＆スパ　彦根みやげ本陣　　,滋賀県彦根市佐和町1-8　彦根キャッスル リゾート＆スパ,0749-21-3071,8:00～20:00（無休）</br>※冬季は19:00まで,https://tabi-sake.com/shop/%e5%bd%a6%e6%a0%b9%e3%80%80%e5%bd%a6%e6%a0%b9%e3%82%ad%e3%83%a3%e3%83%83%e3%82%b9%e3%83%ab%e3%80%80%e3%83%aa%e3%82%be%e3%83%bc%e3%83%88%ef%bc%86%e3%82%b9%e3%83%91%e3%80%80/,09.琵琶湖
酒売処林屋,滋賀県彦根市本町１丁目7-37,0749-22-2737,9:30〜19:30（定休日 火曜日） ,https://tabi-sake.com/shop/%e5%bd%a6%e6%a0%b9%e3%80%80%e9%85%92%e5%a3%b2%e5%87%a6%e6%9e%97%e5%b1%8b/,09.琵琶湖
橋川酒店（橋川酒食品）,滋賀県長浜市元浜町11-25,0749-62-1876,10：00～18：00,https://tabi-sake.com/shop/%e6%a9%8b%e5%b7%9d%e9%85%92%e5%ba%97%ef%bc%88%e6%a9%8b%e5%b7%9d%e9%85%92%e9%a3%9f%e5%93%81%ef%bc%89/,09.琵琶湖
